date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,air_quality_index,gas_digital,ldr_lux
2025-06-24,13:26:47,804086807,24.8,41.6,5.71,46.44,1.14,0,33
2025-06-24,13:26:52,804086812,24.8,41.4,5.62,45.38,1.13,0,32
2025-06-24,13:26:57,804086817,24.9,41.5,5.62,45.40,1.13,0,32
2025-06-24,13:27:02,804086822,24.8,41.5,5.56,44.72,1.13,0,31
2025-06-24,13:27:06,804086826,24.8,41.5,5.56,44.74,1.13,0,31
2025-06-24,13:27:11,804086831,24.8,41.6,5.32,42.05,1.10,0,29
2025-06-24,13:27:16,804086836,24.8,41.4,5.24,41.16,1.10,0,24
2025-06-24,13:27:27,804086847,24.9,41.5,5.07,39.35,1.08,0,22
2025-06-24,13:27:46,804086866,24.9,41.4,5.12,39.86,1.08,0,16
2025-06-24,13:28:05,804086885,24.9,41.5,5.17,40.40,1.09,0,14
2000-01-01,00:00:36,36,24.9,41.5,5.07,39.41,1.08,0,43
