date,time,timestamp,temperature,humidity,gas_analog,gas_digital,light
2025-05-04,23:43:59,799717439,24.8,31.5,437,1,3814
2025-05-04,23:44:04,799717444,24.8,31.6,445,1,4095
2025-05-04,23:44:09,799717449,24.7,31.6,443,1,0
2025-05-04,23:44:14,799717454,24.8,31.8,443,1,0
2025-05-04,23:44:19,799717459,24.7,31.6,442,1,4077
2025-05-04,23:44:25,799717465,24.7,31.6,442,1,4095
2025-05-04,23:44:30,799717470,24.7,31.6,441,1,0
2025-05-04,23:44:35,799717475,24.7,31.6,443,1,3827
2025-05-04,23:44:40,799717480,24.7,31.6,441,1,3339
2025-05-04,23:44:45,799717485,24.7,31.7,435,1,4020
2025-05-04,23:44:50,799717490,24.7,31.5,439,1,4070
2025-05-04,23:44:56,799717496,24.8,31.7,442,1,4000
2025-05-04,23:45:01,799717501,24.7,31.7,441,1,3939
2025-05-04,23:45:06,799717506,24.8,31.5,439,1,2689
2025-05-04,23:45:11,799717511,24.7,31.6,439,1,3930
2025-05-04,23:45:16,799717516,24.7,31.6,441,1,3731
2025-05-04,23:45:21,799717521,24.7,31.8,406,1,3597
2025-05-04,23:45:26,799717526,24.8,31.7,425,1,0
2025-05-04,23:45:32,799717532,24.7,31.5,441,1,3976
2025-05-04,23:45:37,799717537,24.7,31.5,438,1,0
2025-05-04,23:45:42,799717542,24.7,31.5,443,1,4001
2025-05-04,23:45:47,799717547,24.7,31.6,443,1,0
2025-05-04,23:45:52,799717552,24.7,31.7,444,1,4054
2025-05-04,23:45:58,799717558,24.7,31.6,444,1,0
2025-05-04,23:46:03,799717563,24.8,31.6,441,1,0
2025-05-04,23:46:08,799717568,24.7,31.6,439,1,3351
2025-05-04,23:46:13,799717573,24.7,31.6,444,1,3685
2025-05-04,23:46:18,799717578,24.7,31.5,442,1,3355
2025-05-04,23:46:23,799717583,24.7,31.5,439,1,0
2025-05-04,23:46:29,799717589,24.7,31.6,406,1,0
2025-05-04,23:46:34,799717594,24.7,31.6,407,1,0
2025-05-04,23:46:39,799717599,24.8,31.6,442,1,0
2025-05-04,23:46:44,799717604,24.7,31.8,441,1,0
2025-05-04,23:46:49,799717609,24.7,31.7,441,1,0
2025-05-04,23:46:54,799717614,24.7,31.7,442,1,0
2025-05-04,23:47:00,799717620,24.8,31.6,410,1,0
2025-05-04,23:47:05,799717625,24.7,31.5,444,1,3998
2025-05-04,23:47:10,799717630,24.7,31.7,439,1,4095
2025-05-04,23:47:15,799717635,24.7,31.6,442,1,0
2025-05-04,23:47:20,799717640,24.8,31.5,441,1,3992
2025-05-04,23:47:26,799717646,24.7,31.6,443,1,0
2025-05-04,23:47:31,799717651,24.7,31.7,402,1,4047
2025-05-04,23:47:36,799717656,24.7,31.6,443,1,0
2025-05-04,23:47:41,799717661,24.7,31.6,442,1,4033
2025-05-04,23:47:46,799717666,24.7,31.6,441,1,0
2025-05-04,23:47:52,799717672,24.7,31.6,441,1,0
2025-05-04,23:47:57,799717677,24.7,31.8,439,1,3309
2025-05-04,23:48:02,799717682,24.7,31.6,443,1,3501
2025-05-04,23:48:07,799717687,24.7,31.8,443,1,0
2025-05-04,23:48:12,799717692,24.7,31.6,442,1,0
2025-05-04,23:48:18,799717698,24.7,31.6,439,1,0
2025-05-04,23:48:23,799717703,24.7,31.7,442,1,0
2025-05-04,23:48:28,799717708,24.7,31.7,411,1,0
2025-05-04,23:48:33,799717713,24.7,31.6,441,1,1895
2025-05-04,23:48:38,799717718,24.7,31.6,407,1,3315
2025-05-04,23:48:44,799717724,24.7,31.6,444,1,2930
2025-05-04,23:48:49,799717729,24.7,31.6,443,1,0
2025-05-04,23:48:54,799717734,24.7,31.6,412,1,2331
2025-05-04,23:48:59,799717739,24.7,31.6,442,1,0
2025-05-04,23:49:05,799717745,24.7,31.7,445,1,4074
2025-05-04,23:49:10,799717750,24.7,31.5,439,1,3411
2025-05-04,23:49:15,799717755,24.7,31.7,402,1,2450
2025-05-04,23:49:21,799717761,24.7,31.7,439,1,269
2025-05-04,23:49:26,799717766,24.7,31.6,446,1,0
2025-05-04,23:49:31,799717771,24.7,31.6,409,1,4093
2025-05-04,23:49:36,799717776,24.7,31.6,443,1,0
2025-05-04,23:49:41,799717781,24.7,31.7,442,1,3393
2025-05-04,23:49:46,799717786,24.7,31.6,441,1,0
2025-05-04,23:49:52,799717792,24.7,31.5,441,1,3816
2025-05-04,23:49:57,799717797,24.7,31.7,442,1,0
