date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,gas_smoke_ppm,gas_digital,ldr_lux
2025-06-23,15:42:13,804008533,24.7,51.1,5.24,41.17,21.80,0,123
2025-06-23,15:42:17,804008537,24.7,51.1,5.32,42.06,22.17,0,119
2025-06-23,15:42:22,804008542,24.7,51.2,5.20,40.79,21.65,0,119
2025-06-23,15:42:27,804008547,24.8,51.1,4.95,38.10,20.54,0,118
2025-06-23,15:42:31,804008551,24.7,51.1,4.96,38.21,20.58,0,115
2025-06-23,15:42:36,804008556,24.7,51.1,5.01,38.76,20.81,0,113
2025-06-23,15:42:41,804008561,24.8,51.1,5.30,41.82,22.07,0,112
2025-06-23,15:42:46,804008566,24.7,51.1,5.27,41.58,21.97,0,111
2025-06-23,15:42:50,804008570,24.8,51.1,5.56,44.68,23.23,0,109
2025-06-23,15:42:55,804008575,24.8,51.1,5.57,44.85,23.30,0,109
2025-06-23,15:43:00,804008580,24.8,51.0,5.52,44.32,23.08,0,110
2025-06-23,15:43:04,804008584,24.8,50.9,5.38,42.78,22.46,0,110
2025-06-23,15:43:09,804008589,24.8,51.0,5.10,39.72,21.21,0,111
2025-06-23,15:43:14,804008594,24.8,50.8,5.08,39.53,21.13,0,110
2025-06-23,15:43:19,804008599,24.8,50.9,5.00,38.64,20.76,0,111
