date,time,timestamp,temperature,humidity,gas_lpg_ppm,gas_co_ppm,air_quality_index,gas_digital,ldr_lux,gas_analog,light,gas_smoke_ppm
2000-01-01,00:00:36,36,24.9,41.5,5.07,39.41,1.08,0,43.0,,,
2000-01-01,00:00:44,44,24.9,41.4,5.03,38.94,1.07,0,43.0,,,
2000-01-01,00:00:51,51,24.9,41.4,5.09,39.64,1.08,0,42.0,,,
2000-01-01,00:00:59,59,24.9,41.7,5.07,39.34,1.08,0,42.0,,,
2000-01-01,00:01:07,67,24.8,41.5,5.1,39.7,1.08,0,42.0,,,
2000-01-01,00:01:14,74,24.9,41.6,5.07,39.41,1.08,0,42.0,,,
2000-01-01,00:01:20,80,24.9,41.6,5.11,39.82,1.08,0,41.0,,,
2000-01-01,00:01:29,89,24.9,41.5,5.01,38.75,1.07,0,41.0,,,
2000-01-01,00:01:36,96,24.9,41.6,4.77,36.24,1.05,0,41.0,,,
2000-01-01,00:01:43,103,24.9,41.6,4.74,35.92,1.05,0,41.0,,,
2000-01-01,00:01:50,110,24.9,41.7,4.74,35.92,1.05,0,41.0,,,
2000-01-01,00:01:57,117,24.8,41.6,4.93,37.84,1.06,0,41.0,,,
2000-01-01,00:02:04,124,24.9,41.6,4.84,36.94,1.06,0,41.0,,,
2000-01-01,00:02:12,132,24.9,41.5,4.86,37.16,1.06,0,41.0,,,
2000-01-01,00:02:19,139,24.9,41.5,4.79,36.39,1.05,0,41.0,,,
2000-01-01,00:02:26,146,24.9,41.5,4.78,36.33,1.05,0,40.0,,,
2000-01-01,00:04:11,251,29.7,49.8,0.01,0.01,0.05,1,1502.0,,,
2000-01-01,00:04:19,259,29.9,49.6,0.01,0.01,0.05,1,1484.0,,,
2000-01-01,00:04:26,266,29.9,49.3,0.01,0.01,0.05,1,1529.0,,,
2000-01-01,00:04:33,273,30.0,49.2,0.01,0.01,0.05,1,1589.0,,,
2000-01-01,00:04:40,280,30.1,49.6,0.01,0.0,0.05,1,1595.0,,,
2000-01-01,00:04:46,286,30.2,49.1,0.01,0.0,0.05,1,1383.0,,,
2000-01-01,00:04:53,293,30.3,48.7,0.01,0.0,0.05,1,1274.0,,,
2000-01-01,00:05:00,300,30.4,48.5,0.01,0.0,0.05,1,1137.0,,,
2000-01-01,00:05:05,305,30.4,48.5,0.01,0.0,0.05,1,1113.0,,,
2000-01-01,00:05:09,309,30.4,48.4,0.01,0.0,0.05,1,1094.0,,,
2000-01-01,00:05:14,314,30.5,48.3,0.01,0.0,0.04,1,1065.0,,,
2000-01-01,00:05:19,319,30.5,48.2,0.01,0.0,0.04,1,1054.0,,,
2000-01-01,00:05:24,324,30.5,48.1,0.01,0.0,0.04,1,1187.0,,,
2000-01-01,00:05:28,328,30.5,48.0,0.01,0.0,0.04,1,1279.0,,,
2000-01-01,00:05:33,333,30.6,47.9,0.0,0.0,0.04,1,1459.0,,,
2000-01-01,00:05:40,340,30.6,47.6,0.0,0.0,0.04,1,1453.0,,,
2000-01-01,00:05:45,345,30.6,47.5,0.0,0.0,0.04,1,1631.0,,,
2000-01-01,00:05:51,351,30.7,48.1,0.0,0.0,0.04,1,1604.0,,,
2000-01-01,00:05:55,355,30.7,47.7,0.0,0.0,0.04,1,1602.0,,,
2000-01-01,00:06:00,360,30.8,47.3,0.0,0.0,0.04,1,1631.0,,,
2000-01-01,00:06:05,365,30.9,47.0,0.0,0.0,0.04,1,1675.0,,,
2000-01-01,00:06:10,370,30.9,47.1,0.0,0.0,0.04,1,1675.0,,,
2000-01-01,00:06:14,374,31.0,46.9,0.0,0.0,0.04,1,1683.0,,,
2000-01-01,00:06:21,381,31.1,46.7,0.0,0.0,0.04,1,1683.0,,,
2000-01-01,00:06:26,386,31.0,46.5,0.0,0.0,0.04,1,1675.0,,,
2000-01-01,00:06:31,391,31.1,46.9,0.0,0.0,0.03,1,1691.0,,,
2000-01-01,00:06:35,395,31.2,46.5,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:06:40,400,31.2,46.3,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:06:45,405,31.2,46.2,0.0,0.0,0.03,1,1699.0,,,
2000-01-01,00:06:50,410,31.2,46.2,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:06:54,414,31.3,46.1,0.0,0.0,0.03,1,1691.0,,,
2000-01-01,00:07:01,421,31.3,45.9,0.0,0.0,0.03,1,1668.0,,,
2000-01-01,00:07:06,426,31.4,46.0,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:07:11,431,31.4,45.9,0.0,0.0,0.03,1,1668.0,,,
2000-01-01,00:07:15,435,31.4,45.8,0.0,0.0,0.03,1,1646.0,,,
2000-01-01,00:07:20,440,31.4,45.9,0.0,0.0,0.03,1,1660.0,,,
2000-01-01,00:07:25,445,31.4,45.9,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:07:29,449,31.4,46.0,0.0,0.0,0.03,1,1646.0,,,
2000-01-01,00:07:34,454,31.4,46.0,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:07:42,462,31.5,46.0,0.0,0.0,0.03,1,1660.0,,,
2000-01-01,00:07:46,466,31.6,46.1,0.0,0.0,0.03,1,1668.0,,,
2000-01-01,00:07:51,471,31.5,46.0,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:07:56,476,31.6,47.7,0.0,0.0,0.03,1,1668.0,,,
2000-01-01,00:08:01,481,31.6,46.4,0.0,0.0,0.03,1,1661.0,,,
2000-01-01,00:08:05,485,31.6,45.9,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:08:10,490,31.7,45.8,0.0,0.0,0.03,1,1683.0,,,
2000-01-01,00:08:15,495,31.7,45.6,0.0,0.0,0.03,1,1683.0,,,
2000-01-01,00:08:22,502,31.8,45.7,0.0,0.0,0.03,1,2222.0,,,
2000-01-01,00:08:26,506,31.7,45.7,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:08:31,511,31.8,45.6,0.0,0.0,0.03,1,1675.0,,,
2000-01-01,00:08:36,516,31.8,45.6,0.0,0.0,0.03,1,1661.0,,,
2000-01-01,00:08:41,521,31.8,45.5,0.0,0.0,0.03,1,1377.0,,,
2000-01-01,00:08:45,525,31.8,45.4,0.0,0.0,0.03,1,2322.0,,,
2000-01-01,00:08:50,530,31.8,45.4,0.0,0.0,0.03,1,2053.0,,,
2000-01-01,00:08:55,535,31.9,45.2,0.0,0.0,0.03,1,1315.0,,,
2000-01-01,00:09:03,543,31.9,45.3,0.0,0.0,0.03,1,1192.0,,,
2000-01-01,00:09:07,547,31.9,45.2,0.0,0.0,0.03,1,1170.0,,,
2000-01-01,00:09:12,552,31.9,45.2,0.0,0.0,0.02,1,1102.0,,,
2000-01-01,00:09:17,557,31.8,45.1,0.0,0.0,0.02,1,980.0,,,
2000-01-01,00:09:22,562,31.8,45.4,0.0,0.0,0.02,1,892.0,,,
2000-01-01,00:09:27,567,31.8,45.3,0.0,0.0,0.02,1,920.0,,,
2000-01-01,00:09:31,571,31.8,45.2,0.0,0.0,0.02,1,994.0,,,
2000-01-01,00:09:37,577,31.8,45.5,0.0,0.0,0.02,1,1228.0,,,
